date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,year,month,normalized_open,normalized_close,volume_bin
2014-06-05,84.934,85.3507,84.4622,85.0852,75951141,10850163,0.332536,0.392,84.8577,"Jun 5, 14",0.2334388196358185,2014,6,0.10564427362344896,0.10559055952413224,3.0
2014-06-06,85.4203,85.5991,84.7066,84.8512,87620911,12517273,-0.233957,-0.275,85.1348,"Jun 6, 14",0.2300466352865454,2014,6,0.10866330225734937,0.10414905858900474,4.0
2014-06-09,85.2889,86.3746,84.4149,86.209,75414804,75414804,1.3578,1.6,85.6593,"Jun 9, 14",0.2497300024209179,2014,6,0.10784754991826954,0.1125134601689883,3.0
2014-06-10,87.1566,87.451,86.0894,86.715,62777042,62777042,0.506029,0.587,86.7111,"Jun 10, 14",0.2570652386633634,2014,6,0.11944253198599686,0.11563055193469143,2.0
2014-06-11,86.6046,87.1842,85.9974,86.3562,45681114,45681114,-0.35882,-0.414,86.638,"Jun 11, 14",0.2518638893278111,2014,6,0.11601562718255659,0.11342025050082921,1.0
2014-06-12,86.5218,86.5954,84.5529,84.9117,54748791,54748791,-1.4445,-1.673,85.2909,"Jun 12, 14",0.2309236744024898,2014,6,0.1155015914620405,0.10452175434359962,2.0
2014-06-13,84.8289,85.0497,83.6144,83.9824,54525280,54525280,-0.929257,-1.094,84.246,"Jun 13, 14",0.2174520636512949,2014,6,0.10499179591540266,0.09879702434781325,2.0
2014-06-16,84.1941,85.3349,84.1389,84.8289,35561270,35561270,0.846451,1.008,84.7395,"Jun 16, 14",0.2297233630173625,2014,6,0.10105085539144631,0.10401168478193916,1.0
2014-06-17,84.9301,85.2889,84.4609,84.7185,29726347,29726347,-0.110406,-0.13,84.8347,"Jun 17, 14",0.2281229478371925,2014,6,0.10562006179603334,0.10333159203305849,1.0
2014-06-18,84.8933,84.9117,84.0468,84.8105,33514108,33514108,0.092005,0.109,84.5068,"Jun 18, 14",0.2294566271540008,2014,6,0.10539160147580398,0.10389833599045904,1.0
